# name|mystic level|technomancer level|show DC|show ranged attack mod|show melee attack mod
animate dead|4|4|false|false|false
arcane eye|-|4|false|false|false
arcane sight|-|3|false|false|false
arcing surge|-|3|true|false|false
augury|2|-|false|false|false
battle junkbot|-|6|false|false|false
bestow curse|3|-|true|false|false
break enchantment|5|5|false|false|false
call cosmos|5|-|false|false|false
caustic conversion|-|2|false|true|false
chain surge|-|6|true|false|false
charm monster|3|-|true|false|false
charm person|1|-|true|false|false
clairaudience/clairvoyance|3|3|false|false|false
command|1|-|true|false|false
greater command|5|-|true|false|false
command undead|2|2|true|false|false
commune with nature|5|-|false|false|false
comprehend languages|-|1|false|false|false
confusion|4|-|true|false|false
lesser confusion|1|-|true|false|false
contact other plane|5|5|false|false|false
control gravity|6|6|true|false|false
control machines|-|5|true|false|false
control undead|6|6|true|false|false
corrosive haze|-|4|true|false|false
cosmic eddy|4|-|true|false|false
creation|-|4|false|false|false
creation|-|5|false|false|false
crush skull|5|-|true|true|false
dancing lights|-|0|false|false|false
darkvision|2|2|false|false|false
daze|0|0|true|false|false
daze monster|2|2|true|false|false
death ward|4|-|false|false|false
deep slumber|3|-|true|false|false
destruction protocol|-|4|false|false|false
detect affliction|0|0|false|false|false
detect magic|0|0|false|false|false
detect radiation|1|1|false|false|false
detect tech|-|1|false|false|false
detect thoughts|1|-|true|false|false
dimension door|-|4|false|false|false
discern lies|4|-|true|false|false
discharge|-|3|false|false|false
greater discharge|-|6|false|false|false
disguise self|1|1|false|false|false
disintegrate|-|6|true|true|false
dismissal 4|4|4|true|false|false
dismissal 5|5|5|true|false|false
dispel magic|3|3|false|false|false
greater dispel magic|5|5|false|false|false
displacement|-|3|false|false|false
divination|4|-|false|false|false
dominate person|5|-|true|true|false
energy ray|-|0|false|true|false
enervation|4|-|false|true|false
enshrining refuge|6|-|true|false|false
entropic grasp|-|3|false|false|true
erase|-|1|false|false|false
ethereal jaunt|6|6|false|false|false
explosive blast|-|3|true|false|false
fatigue|0|-|true|false|true
fear 1|1|-|true|false|false
fear 2|2|-|true|false|false
fear 3|3|-|true|false|false
fear 4|4|-|true|false|false
feeblemind|5|-|true|true|false
flesh to stone|6|-|true|true|false
flight 1|-|1|false|false|false
flight 2|-|2|false|false|false
flight 3|-|3|false|false|false
flight 4|-|4|false|false|false
flight 5|-|5|false|false|false
flight 6|-|6|false|false|false
fog cloud|2|2|false|false|false
force blast|2|-|true|false|false
ghost sound|0|0|true|false|false
grave words|0|-|false|false|false
gravitational singularity|6|-|false|false|false
grease|-|1|true|false|false
handy junkbot|-|3|false|false|false
haste|3|3|false|false|false
healing junkbot|-|3|false|false|false
heat leech|-|5|true|false|false
hold monster|4|-|true|false|false
hold person|2|-|true|false|false
hold portal|-|1|false|false|false
hologram memory|3|-|true|false|true
holographic image 1|-|1|true|false|false
holographic image 2|-|2|true|false|false
holographic image 3|-|3|true|false|false
holographic image 4|-|4|true|false|false
holographic image 5|-|5|true|false|false
holographic image 6|-|6|true|false|false
holographic terrain|-|5|true|false|false
hurl forcedisk|2|-|false|true|false
identify|1|1|false|false|false
implant data|-|2|false|false|true
inflict pain|2|-|true|false|false
mass inflict pain|6|-|true|false|false
inject nanobots|-|2|true|false|true
instant virus|-|3|ture|false|true
interplanetary teleport|-|6|false|false|false
invisibility|-|2|false|false|false
greater invisibility|-|4|false|false|false
mass invisibility|-|6|false|false|false
irradiate|3|3|true|false|false
jolting surge|-|1|false|false|true
keen senses|1|1|false|false|false
knock|-|2|false|false|false
life bubble|1|1|false|false|false
logic bomb|-|2|true|false|false
magic missile|-|1|false|false|false
make whole|-|2|false|false|false
mending|-|0|false|false|false
microbot assault|-|2|false|false|false
mind link|1|-|false|false|false
mind probe|4|-|true|false|false
mind thrust 1|1|-|true|false|false
mind thrust 2|2|-|true|false|false
mind thrust 3|3|-|true|false|false
mind thrust 4|4|-|true|false|false
mind thrust 5|5|-|true|false|false
mind thrust 6|6|-|true|false|false
miracle|7|-|false|false|false
mirror image|-|2|false|false|false
mislead|-|6|true|false|false
modify memory|5|-|true|false|false
mystic cure 1|1|-|false|false|false
mystic cure 2|2|-|false|false|false
mystic cure 3|3|-|false|false|false
mystic cure 4|4|-|false|false|false
mystic cure 5|5|-|false|false|false
mystic cure 6|6|-|false|false|false
mass mystic cure 5|5|-|false|false|false
mass mystic cure 6|6|-|false|false|false
nondetection|-|3|false|false|false
overheat|-|1|true|false|false
overload systems|-|4|true|false|true
passwall|-|5|false|false|false
planar barrier|6|6|false|false|false
planar binding 4|4|4|true|false|false
planar binding 5|5|5|true|false|false
planar binding 6|6|6|true|false|false
plane shift|6|6|true|false|true
private sanctum|-|5|false|false|false
probability prediction|-|3|false|false|false
prying eyes|-|5|false|false|false
psychic surgery|6|-|false|false|false
psychokinetic hand|0|0|false|false|false
psychokinetic strangulation|3|-|true|false|false
raise dead|5|-|false|false|false
rapid repair|-|5|false|false|false
ray of exhaustion|3|-|true|true|false
recharge|-|2|false|false|false
reflecting armor|1|-|false|false|false
regenerate|6|-|false|false|false
reincarnate|4|-|false|false|false
remove affliction|3|-|false|false|false
remove condition|2|-|false|false|false
greater remove condition|5|-|false|false|false
lesser remove condition|1|-|false|false|false
remove radioactivity|4|4|false|false|false
resilient sphere|-|4|true|false|false
resistant aegis|5|5|false|false|false
resistant armor|4|4|false|false|false
greater resistant armor|6|6|false|false|false
lesser resistant armor|3|3|false|false|false
restoration|4|-|false|false|false
lesser restoration|2|-|false|false|false
retrocognition|5|-|false|false|false
rewire flesh|-|4|true|false|false
mass rewire flesh|-|6|true|false|false
security seal|-|2|false|false|false
see invisibility|2|2|false|false|false
shadow walk|6|6|false|false|false
shadowy fleet|-|6|true|false|false
share language|1|-|false|false|false
shield other|2|-|false|false|false
slow|3|3|true|false|false
snuff life|6|-|true|false|false
soothing protocol|-|4|false|false|true
speak with dead|3|-|true|false|false
spider climb|2|2|false|false|false
stabilize|0|-|false|false|false
status|2|-|false|false|false
subjective reality|6|-|false|false|false
suggestion|3|-|true|false|false
mass suggestion|6|-|true|false|false
supercharge weapon|-|1|false|false|false
sympathetic vibration|-|6|false|false|false
synapse overload|-|5|true|false|true
synaptic pulse|3|-|true|false|false
greater synaptic pulse|5|-|true|false|false
telekinesis|-|5|false|true|false
telekinetic projectile|0|-|false|true|false
telepathic bond|4|-|false|false|false
telepathic jaunt|6|-|false|false|false
telepathic message|0|0|false|false|false
telepathy|5|-|false|false|false
teleport|-|5|false|false|false
terraform|-|6|false|false|false
token spell|0|0|false|false|false
tongues|3|3|false|false|false
transfer charge|-|0|false|false|false
true seeing|6|6|false|false|false
unwilling guardian|-|5|true|false|false
